operator,trayek,kode,nama_trayek,lintasan,jumlah_kendaraan,jumlah_trayek
PT. Koda Jaya AJAP,Patas AC,AC138,P PLAWAD/TNG - BLOK M,TERM P PLAWAD/TNG - JL IMAM BONJOL/TNG - P TOL KARAWACI - TOL TNG/JKT - TOL KB JERUK -  TOL DALAM KOTA - KEL TOL FARMASI -  GT SUBROTO - G PEMUDA - JL ASIA AFRIKA - JL HANG TUAH -  JL KYAI MAJA - JL P POLIM - TERM BLOK M,20,1
PT. Koda Jaya AJAP,Patas AC,AC139,P PLAWAD/TNG - PRJ KMY,"TERM P PLAWAD/TNG - JL SUDIRMAN/TNG MH THAMRIN/TNG - M.T.KB NANAS - TOL TNG/JKT - K  TOL KB JERUK - TOMANG RAYA - S PRANOTO - JUANDA - JL DR SUTOMO - JL G SAHARI - JL ANGKASA -  JL B SUIB - PRJ KEMAYORAN KEMBALI : PRJK - B SUIB - ANGKASA - G SAHARI - DR SUTOMO - POS - L,  BANT UTR - PEJAMBON - MERDEKA TMR - MERDEKA UTR - TOMANG RY - DST",20,1
PT. Koda Jaya AJAP,Patas,P103,GROGOL - CIBODAS (TNG),TERM GROGOL - JL S PARMAN - TOMANG - KB JERUK - TOL TANGERANG - CIKOKOL - KARAWACI -  CIMONE / CIBODAS,17,1
PT. Koda Jaya AJAP,Patas,P104,GROGOL - PERUM TNG PP,TERM GROGOL - JL S PARMAN - TOMANG - TOL KB JERUK - TOL KARAWACI - PERUMNAS I -  PERUMNAS II - PERUMNAS III - TANGERANG,22,1
PT. Koda Jaya AJAP,Patas,P106,PS SENEN - CIMONE / TGR,TERM PS SENEN - JL SENEN RAYA - JL KWINI - JL KWITANG RAYA - JL MERDEKA SLT - JL MERDEKA BRT -  JL ABD MUIS - JL TNH ABANG I - JL SURYOPRANOTO - TOMANG - TOL KB JERUK - TOL KARAWACI -  TERM CIMONE - KEMBALI : TOL KARAWACI - TOL KB JERUK - SURYO P - G MADA - H WURUK -  JUANDA - MERD UTR - ABD MUIS - MUSIUM - MERD SLT - JL PRPATAN - SENEN R - WAHIDIN,24,1
PT. Steady Safe,Reguler,921,TERM KP MELAYU - TERM BLOK M,TERM KP MELAYU - DEWI SARTIKA - MT HARYONO - GT SUBROTO - SUDIRMAN - S. MANGARAJA -  TERM BLOK M,1,1
PT. Steady Safe,Reguler,940,GROGOL - TG PRIOK,TERM GROGOL - KYAI TAPA - HASYIM ASHARI - GAJAH MADA - PINTU BESAR SEL - KALI BESAR TMR -  BANK - JEMB BATU - P JAYAKARTA - G SAHARI - RE MARTADINATA - TERM TG PRIOK,1,1
PT. Steady Safe,Reguler,948,KP MELAYU - TG PRIOK,TERM KP MELAYU - JATI NEGARA BARAT - MATRAMAN RAYA - PRAMUKA - A YANI - YOS SUDARSO -  ENGGANO - TERM TG PRIOK,4,1
PT. Steady Safe,Patas AC,AC47,TERM KP RAMBUTAN - SENEN,TERM KP RAMBUTAN - JL RAYA BOGOR - JL SUTOYO - JL MT HARYONO - JL RASUNA  SAID - JL IMAM BONJOL - JL MH THAMRIN - JL MERDEKA BARAT - JL MAJAPAHIT - JL IR H JUANDA - JL  POS - JL GN SAHARI - TERM SENEN - TERM SENEN - PEJAMBON - JL MERDEKA BRT - JL MH  THAMRIN - JL IMAM BONJOL - JL RASUNA SAID - JL MT HARYONO - JL SUTOYO - JL RAYA BOGOR -  TERM KP RAMBUTAN,1,1
PT. Steady Safe,Patas AC,AC48,TERM GROGOL - DEPOK,TERM GROGOL - S PARMAN - SLIPI - GT SUBROTO - M PRAPATAN - BUNCIT RAYA - TB SIMATUPANG -  LENTENG AGUNG - KAMPUS UI DEPOK - TERM DEPOK,2,1
PT. Steady Safe,Patas,P73,KLENDER - TG PRIOK,TERM KL DERES - DAAN MOGOT - LATUMENTEN - MSK TOL JEMB 3 - TOL DALAM KOTA - KEL TOL  ANCOL - GN SAHARI - INDUSTRI - BENYAMIN S - RE MARTADINATA - TERM TG PRIOK,3,1
Kop. ARH,Patas,P100,SENEN - P PLAWAD/TGR,TERM SENEN - BUNGUR RAYA - SENEN RAYA - PEJAMBON - MERDEKA TMR - MERDEKA UTR - S  PRANOTO - TOMANG RAYA - MSK TOL KB JERUK - TOL JKT/TGR - KLR TOL K B NANAS - P PLAWAD/TGR,13,1
PT. Metromini,Patas AC,C100B,TERM SENEN - CIBINONG,TERM SENEN - JL SENEN RAYA - JL KWINI - JL KWITANG - JL RIDWAN RAIS - JL MERDEKA SELT - JL  MERDEKA BRT - JL MH THAMRIN - JL JEN SUDIRMAN - TOL SEMANGGI I - TOL JAGORAWI - CITEUREUP - CIBINONG - TOL JAGORAWI - TOL W WIYONO - TOL CEMP PUTIH - JL SUPRAPTO - TERM SENEN,10,1
